date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.01.2020,Чукотский автономный округ,24,3,0,0,0,483
01.01.2020,Ярославская область,243,1,1,4,159,193
01.10.2021,Алтайский край,616,2,2,2,470,264
01.10.2021,Амурская область,165,2,2,4,86,208
01.10.2021,Архангельская область,201,3,0,2,139,176
01.10.2021,Астраханская область,178,1,2,2,108,176
01.10.2021,Белгородская область,372,1,1,3,279,240
01.10.2021,Брянская область,143,1,0,2,93,119
01.10.2021,Владимирская область,245,1,1,2,162,179
01.10.2021,Волгоградская область,479,2,1,7,311,191
01.10.2021,Вологодская область,233,2,3,1,162,200
01.10.2021,Воронежская область,567,1,0,8,443,244
01.10.2021,Еврейская автономная область,36,1,0,1,19,225
01.10.2021,Забайкальский край,192,1,0,2,128,180
01.10.2021,Ивановская область,162,1,3,2,101,161
01.10.2021,Иркутская область,396,1,3,7,211,165
01.10.2021,Кабардино-Балкарская Республика,80,2,1,3,63,92
01.10.2021,Калининградская область,185,1,1,5,95,185
01.10.2021,Калужская область,182,1,3,4,113,180
01.10.2021,Камчатский край,85,2,1,2,45,270
01.10.2021,Карачаево-Черкесская Республика,36,1,0,1,19,77
01.10.2021,Кемеровская область-Кузбасс,425,2,5,5,250,159
01.10.2021,Кировская область,300,1,3,3,238,236
01.10.2021,Костромская область,100,1,3,2,73,157
01.10.2021,Краснодарский край,1 196,3,5,15,850,212
01.10.2021,Красноярский край,527,2,1,12,305,183
01.10.2021,Курганская область,258,1,2,2,195,309
01.10.2021,Курская область,195,1,0,3,141,176
01.10.2021,Ленинградская область,298,1,1,2,3,161
01.10.2021,Липецкая область,253,1,0,2,188,221
01.10.2021,Магаданская область,52,1,0,1,27,368
01.10.2021,г. Москва и Московская область,3 526,1,192,56,2 696,174
01.10.2021,Мурманская область,139,2,2,1,78,186
01.10.2021,Нижегородская область,648,2,4,24,475,202
01.10.2021,Новгородская область,138,2,2,3,101,230
01.10.2021,Новосибирская область,556,1,3,26,400,199
01.10.2021,Омская область,406,1,2,4,280,209
01.10.2021,Оренбургская область,506,3,3,3,387,258
01.10.2021,Орловская область,147,1,0,4,104,199
01.10.2021,Пензенская область,302,1,1,2,230,229
01.10.2021,Пермский край,622,2,3,8,445,238
01.10.2021,Приморский край,385,3,8,9,236,202
01.10.2021,Псковская область,129,2,2,4,87,205
01.10.2021,Республика Адыгея (Адыгея),80,1,0,2,65,176
01.10.2021,Республика Алтай,37,1,1,1,23,169
01.10.2021,Республика Башкортостан,797,4,1,8,613,197
01.10.2021,Республика Бурятия,160,1,0,3,104,163
01.10.2021,Республика Дагестан,89,1,2,3,67,29
01.10.2021,Республика Ингушетия,13,1,0,2,8,26
01.10.2021,Республика Калмыкия,31,1,0,1,19,114
01.10.2021,Республика Карелия,118,2,0,1,75,191
01.10.2021,Республика Коми,194,4,1,4,141,234
01.10.2021,Республика Крым,208,1,3,2,60,109
01.10.2021,Республика Марий Эл,124,1,2,2,86,182
01.10.2021,Республика Мордовия,204,1,0,2,176,256
01.10.2021,Республика Саха (Якутия),253,3,1,3,173,262
01.10.2021,Республика Северная Осетия-Алания,59,1,1,2,31,84
01.10.2021,Республика Татарстан (Татарстан),979,3,13,6,724,251
01.10.2021,Республика Тыва,52,1,0,2,38,160
01.10.2021,Республика Хакасия,97,1,1,1,49,181
01.10.2021,Ростовская область,830,2,7,21,601,198
01.10.2021,Рязанская область,207,1,3,2,144,186
01.10.2021,Самарская область,566,2,7,12,371,178
01.10.2021,г. Санкт-Петербург,958,3,21,38,641,178
01.10.2021,Саратовская область,440,1,5,3,281,180
01.10.2021,Сахалинская область,115,2,3,3,68,235
01.10.2021,Свердловская область,809,3,8,25,587,187
01.10.2021,г. Севастополь,55,1,1,0,0,124
01.10.2021,Смоленская область,119,1,0,2,65,126
01.10.2021,Ставропольский край,449,3,3,13,355,161
01.10.2021,Тамбовская область,227,1,1,2,193,223
01.10.2021,Тверская область,163,1,2,4,104,128
01.10.2021,Томская область,181,1,1,3,105,168
01.10.2021,Тульская область,220,1,0,5,136,149
01.10.2021,Тюменская область,797,8,6,14,481,214
01.10.2021,Удмуртская Республика,300,1,3,2,203,199
01.10.2021,Ульяновская область,235,1,1,2,168,190
01.10.2021,Хабаровский край,253,3,0,12,153,191
01.10.2021,Челябинская область,695,3,6,15,444,200
01.10.2021,Чеченская Республика,49,1,0,2,35,34
01.10.2021,Чувашская Республика - Чувашия,265,1,1,2,203,217
01.10.2021,Чукотский автономный округ,25,3,0,0,0,503
01.10.2021,Ярославская область,225,1,1,4,155,179
01.07.2021,Алтайский край,624,2,2,2,471,267
01.07.2021,Амурская область,177,2,2,4,87,223
01.07.2021,Архангельская область,214,3,0,2,145,187
01.07.2021,Астраханская область,179,1,2,2,108,177
01.07.2021,Белгородская область,372,1,1,3,278,240
01.07.2021,Брянская область,149,1,0,2,95,124
01.07.2021,Владимирская область,251,1,1,2,162,184
01.07.2021,Волгоградская область,482,2,1,7,312,192
01.07.2021,Вологодская область,243,2,3,1,167,208
01.07.2021,Воронежская область,568,1,0,8,444,244
01.07.2021,Еврейская автономная область,38,1,0,1,19,238
01.07.2021,Забайкальский край,197,1,0,2,128,185
01.07.2021,Ивановская область,164,1,3,2,104,163
01.07.2021,Иркутская область,403,1,3,7,211,168
01.07.2021,Кабардино-Балкарская Республика,83,2,1,3,66,96
01.07.2021,Калининградская область,195,1,1,5,97,195
01.07.2021,Калужская область,188,1,3,4,116,186
01.07.2021,Камчатский край,91,2,1,2,45,289
01.07.2021,Карачаево-Черкесская Республика,36,1,0,1,19,77
01.07.2021,Кемеровская область-Кузбасс,426,2,5,5,248,159
01.07.2021,Кировская область,303,1,3,3,240,238
01.07.2021,Костромская область,101,1,3,2,73,158
01.07.2021,Краснодарский край,1 216,3,5,16,859,215
01.07.2021,Красноярский край,536,2,1,13,327,186
01.07.2021,Курганская область,260,1,2,2,195,311
01.07.2021,Курская область,204,1,0,3,144,184
01.07.2021,Ленинградская область,310,1,1,2,3,168
01.07.2021,Липецкая область,258,1,0,2,190,226
01.07.2021,Магаданская область,52,1,0,1,27,368
01.07.2021,г. Москва и Московская область,3 681,1,196,58,2 805,182
01.07.2021,Мурманская область,148,2,2,1,82,198
01.07.2021,Нижегородская область,671,2,4,24,496,209
01.07.2021,Новгородская область,144,2,2,3,104,240
01.07.2021,Новосибирская область,566,1,3,27,402,203
01.07.2021,Омская область,415,1,2,5,281,213
01.07.2021,Оренбургская область,513,3,3,4,390,261
01.07.2021,Орловская область,149,1,0,4,105,201
01.07.2021,Пензенская область,306,1,1,2,230,232
01.07.2021,Пермский край,633,2,3,8,450,242
01.07.2021,Приморский край,402,3,8,9,237,211
01.07.2021,Псковская область,132,2,2,4,89,210
01.07.2021,Республика Адыгея (Адыгея),81,1,0,2,66,178
01.07.2021,Республика Алтай,38,1,1,1,24,174
01.07.2021,Республика Башкортостан,800,4,1,8,614,197
01.07.2021,Республика Бурятия,162,1,0,3,104,165
01.07.2021,Республика Дагестан,90,1,2,3,67,29
01.07.2021,Республика Ингушетия,13,1,0,2,8,26
01.07.2021,Республика Калмыкия,31,1,0,1,19,114
01.07.2021,Республика Карелия,125,2,0,1,79,202
01.07.2021,Республика Коми,201,4,1,4,143,242
01.07.2021,Республика Крым,215,1,3,2,65,112
01.07.2021,Республика Марий Эл,124,1,2,2,87,182
01.07.2021,Республика Мордовия,210,1,1,2,178,264
01.07.2021,Республика Саха (Якутия),263,3,1,3,173,272
01.07.2021,Республика Северная Осетия-Алания,60,1,1,2,31,86
01.07.2021,Республика Татарстан (Татарстан),985,3,13,6,729,253
01.07.2021,Республика Тыва,52,1,0,2,38,160
01.07.2021,Республика Хакасия,100,1,1,1,49,187
01.07.2021,Ростовская область,842,2,7,21,618,200
01.07.2021,Рязанская область,211,1,3,2,145,189
01.07.2021,Самарская область,569,2,7,12,374,179
01.07.2021,г. Санкт-Петербург,1 004,3,21,39,675,186
01.07.2021,Саратовская область,450,1,5,3,285,184
01.07.2021,Сахалинская область,116,2,3,3,65,237
01.07.2021,Свердловская область,814,3,8,25,594,189
01.07.2021,г. Севастополь,57,1,1,0,0,129
01.07.2021,Смоленская область,124,1,0,2,68,132
01.07.2021,Ставропольский край,457,3,3,13,364,163
01.07.2021,Тамбовская область,232,1,1,2,195,228
01.07.2021,Тверская область,165,1,2,4,104,130
01.07.2021,Томская область,184,1,1,3,105,171
01.07.2021,Тульская область,225,1,0,5,139,152
01.07.2021,Тюменская область,821,8,6,14,487,220
01.07.2021,Удмуртская Республика,306,1,3,2,206,203
01.07.2021,Ульяновская область,237,1,1,2,170,191
01.07.2021,Хабаровский край,270,3,0,13,178,204
01.07.2021,Челябинская область,700,3,6,15,444,201
01.07.2021,Чеченская Республика,49,1,0,2,35,34
01.07.2021,Чувашская Республика - Чувашия,269,1,1,2,205,220
01.07.2021,Чукотский автономный округ,25,3,0,0,0,503
01.07.2021,Ярославская область,231,1,1,4,161,183
01.04.2021,Алтайский край,631,2,2,2,479,270
01.04.2021,Амурская область,181,2,2,4,87,228
01.04.2021,Архангельская область,217,3,0,2,146,190
01.04.2021,Астраханская область,181,1,2,2,108,178
01.04.2021,Белгородская область,373,1,1,3,277,241
01.04.2021,Брянская область,149,1,0,2,94,124
01.04.2021,Владимирская область,253,1,1,2,165,185
01.04.2021,Волгоградская область,486,2,1,8,314,194
01.04.2021,Вологодская область,243,2,3,1,167,208
01.04.2021,Воронежская область,569,1,0,8,446,244
01.04.2021,Еврейская автономная область,39,1,0,1,19,244
01.04.2021,Забайкальский край,199,1,0,2,129,187
01.04.2021,Ивановская область,163,1,3,2,105,162
01.04.2021,Иркутская область,413,1,3,7,210,172
01.04.2021,Кабардино-Балкарская Республика,83,2,1,3,66,96
01.04.2021,Калининградская область,196,1,1,5,96,196
01.04.2021,Калужская область,190,1,3,4,117,188
01.04.2021,Камчатский край,93,2,1,2,46,295
01.04.2021,Карачаево-Черкесская Республика,37,1,1,1,20,79
01.04.2021,Кемеровская область-Кузбасс,429,2,5,6,248,160
01.04.2021,Кировская область,306,1,3,4,242,241
01.04.2021,Костромская область,102,1,3,2,74,160
01.04.2021,Краснодарский край,1 216,3,5,17,860,215
01.04.2021,Красноярский край,548,2,2,13,333,191
01.04.2021,Курганская область,263,1,2,2,198,315
01.04.2021,Курская область,204,1,0,3,144,184
01.04.2021,Ленинградская область,313,1,1,2,3,169
01.04.2021,Липецкая область,258,1,0,2,190,226
01.04.2021,Магаданская область,53,1,0,1,27,375
01.04.2021,г. Москва и Московская область,3 841,1,207,60,2 928,190
01.04.2021,Мурманская область,152,2,2,1,86,203
01.04.2021,Нижегородская область,681,2,4,24,501,212
01.04.2021,Новгородская область,144,2,2,3,104,240
01.04.2021,Новосибирская область,574,1,3,27,405,205
01.04.2021,Омская область,418,1,2,5,282,215
01.04.2021,Оренбургская область,514,3,3,4,390,262
01.04.2021,Орловская область,149,1,0,4,105,201
01.04.2021,Пензенская область,304,1,1,2,230,231
01.04.2021,Пермский край,639,2,4,8,454,245
01.04.2021,Приморский край,405,3,8,9,237,213
01.04.2021,Псковская область,134,2,2,4,89,213
01.04.2021,Республика Адыгея (Адыгея),83,1,1,2,66,183
01.04.2021,Республика Алтай,38,1,1,1,24,174
01.04.2021,Республика Башкортостан,813,4,1,8,625,201
01.04.2021,Республика Бурятия,163,1,0,3,105,166
01.04.2021,Республика Дагестан,90,1,2,3,67,29
01.04.2021,Республика Ингушетия,13,1,0,2,8,26
01.04.2021,Республика Калмыкия,31,1,0,1,19,114
01.04.2021,Республика Карелия,126,2,0,1,79,204
01.04.2021,Республика Коми,200,4,1,4,142,241
01.04.2021,Республика Крым,216,1,3,2,65,113
01.04.2021,Республика Марий Эл,125,1,2,2,87,184
01.04.2021,Республика Мордовия,214,1,2,2,181,269
01.04.2021,Республика Саха (Якутия),267,3,1,3,173,276
01.04.2021,Республика Северная Осетия-Алания,59,1,1,2,31,84
01.04.2021,Республика Татарстан (Татарстан),1 004,3,14,6,744,258
01.04.2021,Республика Тыва,51,1,0,2,38,157
01.04.2021,Республика Хакасия,101,1,1,1,49,188
01.04.2021,Ростовская область,850,2,7,22,622,202
01.04.2021,Рязанская область,214,1,3,2,147,192
01.04.2021,Самарская область,575,2,7,13,377,181
01.04.2021,г. Санкт-Петербург,1 048,3,23,42,707,195
01.04.2021,Саратовская область,458,1,5,3,289,188
01.04.2021,Сахалинская область,118,2,3,3,65,241
01.04.2021,Свердловская область,838,3,9,26,615,194
01.04.2021,г. Севастополь,58,1,1,0,0,131
01.04.2021,Смоленская область,124,1,0,2,68,132
01.04.2021,Ставропольский край,460,3,3,13,365,165
01.04.2021,Тамбовская область,234,1,1,2,197,230
01.04.2021,Тверская область,166,1,2,4,104,131
01.04.2021,Томская область,193,1,1,3,114,179
01.04.2021,Тульская область,236,1,0,5,142,160
01.04.2021,Тюменская область,820,8,6,15,482,220
01.04.2021,Удмуртская Республика,309,1,3,2,209,205
01.04.2021,Ульяновская область,239,1,1,2,172,193
01.04.2021,Хабаровский край,276,3,0,13,184,209
01.04.2021,Челябинская область,706,3,6,32,432,203
01.04.2021,Чеченская Республика,50,1,0,2,35,34
01.04.2021,Чувашская Республика - Чувашия,280,1,1,2,215,229
01.04.2021,Чукотский автономный округ,25,3,0,0,0,503
01.04.2021,Ярославская область,232,1,1,4,161,184
01.01.2021,Алтайский край,636,2,2,3,482,273
01.01.2021,Амурская область,185,2,2,4,87,233
01.01.2021,Архангельская область,219,3,0,2,146,191
01.01.2021,Астраханская область,182,1,3,2,108,179
01.01.2021,Белгородская область,374,1,1,3,277,242
01.01.2021,Брянская область,149,1,0,2,94,124
01.01.2021,Владимирская область,254,1,1,2,165,186
01.01.2021,Волгоградская область,487,2,1,8,313,194
01.01.2021,Вологодская область,244,2,3,1,167,209
01.01.2021,Воронежская область,572,1,0,9,448,246
01.01.2021,Еврейская автономная область,41,1,0,1,19,256
01.01.2021,Забайкальский край,202,1,0,2,129,190
01.01.2021,Ивановская область,163,1,3,2,105,162
01.01.2021,Иркутская область,421,1,3,7,210,176
01.01.2021,Кабардино-Балкарская Республика,84,2,1,3,66,97
01.01.2021,Калининградская область,198,1,1,5,96,198
01.01.2021,Калужская область,190,1,3,4,117,188
01.01.2021,Камчатский край,95,2,1,2,46,302
01.01.2021,Карачаево-Черкесская Республика,38,1,1,1,20,82
01.01.2021,Кемеровская область-Кузбасс,432,2,5,6,248,162
01.01.2021,Кировская область,308,1,3,4,243,242
01.01.2021,Костромская область,102,1,3,2,74,160
01.01.2021,Краснодарский край,1 227,3,6,17,857,217
01.01.2021,Красноярский край,559,2,2,13,341,195
01.01.2021,Курганская область,263,1,2,2,198,315
01.01.2021,Курская область,206,1,0,3,144,186
01.01.2021,Ленинградская область,313,1,1,2,3,169
01.01.2021,Липецкая область,260,1,0,2,190,227
01.01.2021,Магаданская область,54,1,0,1,27,382
01.01.2021,г. Москва и Московская область,3 857,1,211,61,2 939,191
01.01.2021,Мурманская область,156,2,2,1,87,209
01.01.2021,Нижегородская область,685,2,4,24,499,213
01.01.2021,Новгородская область,145,2,2,3,104,242
01.01.2021,Новосибирская область,579,1,3,28,410,207
01.01.2021,Омская область,421,1,2,5,284,217
01.01.2021,Оренбургская область,514,3,3,4,386,262
01.01.2021,Орловская область,149,1,0,4,105,201
01.01.2021,Пензенская область,305,1,1,2,230,231
01.01.2021,Пермский край,641,2,4,9,455,246
01.01.2021,Приморский край,412,3,8,9,238,217
01.01.2021,Псковская область,135,2,2,4,89,214
01.01.2021,Республика Адыгея (Адыгея),85,1,1,2,66,187
01.01.2021,Республика Алтай,38,1,1,1,24,174
01.01.2021,Республика Башкортостан,814,4,1,9,624,201
01.01.2021,Республика Бурятия,164,1,0,3,105,167
01.01.2021,Республика Дагестан,90,1,2,3,67,29
01.01.2021,Республика Ингушетия,13,1,0,2,8,26
01.01.2021,Республика Калмыкия,31,1,0,1,19,114
01.01.2021,Республика Карелия,129,2,0,1,79,209
01.01.2021,Республика Коми,206,4,1,4,143,248
01.01.2021,Республика Крым,231,1,3,2,65,121
01.01.2021,Республика Марий Эл,127,1,2,2,87,187
01.01.2021,Республика Мордовия,215,1,2,2,181,270
01.01.2021,Республика Саха (Якутия),276,3,1,4,173,285
01.01.2021,Республика Северная Осетия-Алания,59,1,1,2,31,84
01.01.2021,Республика Татарстан (Татарстан),1 016,3,15,7,748,261
01.01.2021,Республика Тыва,51,1,0,2,38,157
01.01.2021,Республика Хакасия,102,1,1,1,49,190
01.01.2021,Ростовская область,853,2,7,22,621,203
01.01.2021,Рязанская область,215,1,3,2,147,193
01.01.2021,Самарская область,576,2,8,13,375,181
01.01.2021,г. Санкт-Петербург,1 062,3,23,45,716,197
01.01.2021,Саратовская область,458,1,5,3,287,188
01.01.2021,Сахалинская область,118,2,3,3,65,241
01.01.2021,Свердловская область,840,3,9,28,615,195
01.01.2021,г. Севастополь,67,1,1,0,0,151
01.01.2021,Смоленская область,124,1,0,2,67,132
01.01.2021,Ставропольский край,462,3,3,13,366,165
01.01.2021,Тамбовская область,235,1,1,2,197,231
01.01.2021,Тверская область,167,1,2,4,103,132
01.01.2021,Томская область,197,1,1,3,114,183
01.01.2021,Тульская область,234,1,0,5,142,158
01.01.2021,Тюменская область,835,8,6,15,490,224
01.01.2021,Удмуртская Республика,310,1,3,2,210,206
01.01.2021,Ульяновская область,239,1,1,2,172,193
01.01.2021,Хабаровский край,282,3,0,13,187,213
01.01.2021,Челябинская область,716,3,6,43,424,206
01.01.2021,Чеченская Республика,50,1,0,2,35,34
01.01.2021,Чувашская Республика - Чувашия,281,1,2,2,215,230
01.01.2021,Чукотский автономный округ,24,3,0,0,0,483
01.01.2021,Ярославская область,233,1,1,4,160,185
01.10.2022,Алтайский край,568,2,2,2,562,243
01.10.2022,Амурская область,151,2,1,5,143,190
01.10.2022,Архангельская область,187,3,0,2,182,163
01.10.2022,Астраханская область,163,1,1,2,159,161
01.10.2022,Белгородская область,345,1,1,3,340,223
01.10.2022,Брянская область,133,1,0,2,130,111
01.10.2022,Владимирская область,224,1,1,2,220,164
01.10.2022,Волгоградская область,443,2,1,7,433,177
01.10.2022,Вологодская область,218,2,3,1,212,187
01.10.2022,Воронежская область,506,1,0,8,497,217
01.10.2022,Еврейская автономная область,33,1,0,1,31,206
01.10.2022,Забайкальский край,179,1,0,2,176,168
01.10.2022,Ивановская область,150,1,3,2,144,149
01.10.2022,Иркутская область,357,1,3,7,346,149
01.10.2022,Кабардино-Балкарская Республика,74,2,1,3,68,85
01.10.2022,Калининградская область,174,1,1,5,167,174
01.10.2022,Калужская область,170,1,3,3,163,168
01.10.2022,Камчатский край,79,2,1,2,74,251
01.10.2022,Карачаево-Черкесская Республика,34,1,0,1,32,73
01.10.2022,Кемеровская область-Кузбасс,395,2,5,5,383,148
01.10.2022,Кировская область,274,1,2,3,268,215
01.10.2022,Костромская область,98,1,3,2,92,154
01.10.2022,Краснодарский край,1 100,3,5,16,1 076,195
01.10.2022,Красноярский край,470,2,1,10,457,164
01.10.2022,Курганская область,239,1,2,2,234,286
01.10.2022,Курская область,177,1,0,3,173,160
01.10.2022,Ленинградская область,273,1,1,2,269,148
01.10.2022,Липецкая область,228,1,0,2,225,199
01.10.2022,Магаданская область,46,1,0,1,44,326
01.10.2022,г. Москва и Московская область,3 294,1,189,56,3 048,163
01.10.2022,Мурманская область,125,2,2,1,120,167
01.10.2022,Нижегородская область,574,2,4,22,546,179
01.10.2022,Новгородская область,126,2,2,2,120,210
01.10.2022,Новосибирская область,525,1,3,25,496,188
01.10.2022,Омская область,369,1,2,3,363,190
01.10.2022,Оренбургская область,480,3,3,3,471,245
01.10.2022,Орловская область,140,1,0,4,135,189
01.10.2022,Пензенская область,292,1,1,2,288,222
01.10.2022,Пермский край,559,2,3,8,546,214
01.10.2022,Приморский край,356,3,8,8,337,187
01.10.2022,Псковская область,108,2,2,4,100,172
01.10.2022,Республика Адыгея (Адыгея),76,1,0,1,74,167
01.10.2022,Республика Алтай,37,1,1,1,34,169
01.10.2022,Республика Башкортостан,743,4,1,8,730,183
01.10.2022,Республика Бурятия,144,1,0,3,140,146
01.10.2022,Республика Дагестан,88,1,2,3,82,29
01.10.2022,Республика Ингушетия,12,1,0,2,9,24
01.10.2022,Республика Калмыкия,30,1,0,1,28,110
01.10.2022,Республика Карелия,109,2,0,1,106,176
01.10.2022,Республика Коми,177,4,1,4,168,213
01.10.2022,Республика Крым,208,1,3,3,201,109
01.10.2022,Республика Марий Эл,118,1,2,2,113,173
01.10.2022,Республика Мордовия,164,1,0,2,161,206
01.10.2022,Республика Саха (Якутия),236,3,1,3,229,244
01.10.2022,Республика Северная Осетия-Алания,58,1,1,2,54,83
01.10.2022,Республика Татарстан (Татарстан),871,3,13,6,849,223
01.10.2022,Республика Тыва,48,1,0,2,45,148
01.10.2022,Республика Хакасия,91,1,1,1,88,170
01.10.2022,Ростовская область,775,2,7,20,746,184
01.10.2022,Рязанская область,195,1,3,2,189,175
01.10.2022,Самарская область,527,2,6,12,507,166
01.10.2022,г. Санкт-Петербург,925,3,21,37,864,172
01.10.2022,Саратовская область,415,1,5,3,406,170
01.10.2022,Сахалинская область,103,2,3,3,95,210
01.10.2022,Свердловская область,735,3,7,23,702,170
01.10.2022,г. Севастополь,55,1,0,1,53,124
01.10.2022,Смоленская область,114,1,0,2,111,121
01.10.2022,Ставропольский край,430,3,3,12,412,154
01.10.2022,Тамбовская область,204,1,1,2,200,201
01.10.2022,Тверская область,147,1,2,4,140,116
01.10.2022,Томская область,165,1,1,3,160,153
01.10.2022,Тульская область,206,1,0,5,200,139
01.10.2022,Тюменская область,693,8,5,11,669,186
01.10.2022,Удмуртская Республика,282,1,3,2,276,187
01.10.2022,Ульяновская область,220,1,1,2,216,178
01.10.2022,Хабаровский край,232,3,0,10,219,176
01.10.2022,Челябинская область,659,3,6,14,636,190
01.10.2022,Чеченская Республика,48,1,0,2,45,33
01.10.2022,Чувашская Республика - Чувашия,247,1,1,2,243,202
01.10.2022,Чукотский автономный округ,25,3,0,0,22,503
01.10.2022,Ярославская область,221,1,1,4,215,175
01.07.2022,Алтайский край,598,2,2,2,592,256
01.07.2022,Амурская область,152,2,1,4,145,192
01.07.2022,Архангельская область,191,3,0,2,186,167
01.07.2022,Астраханская область,170,1,1,2,166,168
01.07.2022,Белгородская область,350,1,1,3,345,226
01.07.2022,Брянская область,140,1,0,2,137,117
01.07.2022,Владимирская область,235,1,1,2,231,172
01.07.2022,Волгоградская область,453,2,1,7,443,181
01.07.2022,Вологодская область,230,2,3,1,224,197
01.07.2022,Воронежская область,533,1,0,8,524,229
01.07.2022,Еврейская автономная область,34,1,0,1,32,213
01.07.2022,Забайкальский край,181,1,0,2,178,170
01.07.2022,Ивановская область,153,1,3,2,147,152
01.07.2022,Иркутская область,365,1,3,7,354,152
01.07.2022,Кабардино-Балкарская Республика,74,2,1,3,68,85
01.07.2022,Калининградская область,176,1,1,5,169,176
01.07.2022,Калужская область,175,1,3,3,168,173
01.07.2022,Камчатский край,81,2,1,2,76,257
01.07.2022,Карачаево-Черкесская Республика,35,1,0,1,33,75
01.07.2022,Кемеровская область-Кузбасс,404,2,5,5,392,151
01.07.2022,Кировская область,282,1,3,3,275,222
01.07.2022,Костромская область,98,1,3,2,92,154
01.07.2022,Краснодарский край,1 168,3,5,15,1 145,207
01.07.2022,Красноярский край,500,2,1,10,487,174
01.07.2022,Курганская область,251,1,2,2,246,301
01.07.2022,Курская область,184,1,0,3,180,166
01.07.2022,Ленинградская область,285,1,1,2,281,154
01.07.2022,Липецкая область,237,1,0,2,234,207
01.07.2022,Магаданская область,46,1,0,1,44,326
01.07.2022,г. Москва и Московская область,3 316,1,187,56,3 072,164
01.07.2022,Мурманская область,129,2,2,1,124,172
01.07.2022,Нижегородская область,619,2,4,22,591,193
01.07.2022,Новгородская область,133,2,2,2,127,222
01.07.2022,Новосибирская область,531,1,3,25,502,190
01.07.2022,Омская область,390,1,2,3,384,201
01.07.2022,Оренбургская область,486,3,3,3,477,248
01.07.2022,Орловская область,146,1,0,4,141,197
01.07.2022,Пензенская область,299,1,1,2,295,227
01.07.2022,Пермский край,603,2,3,8,590,231
01.07.2022,Приморский край,360,3,8,8,341,189
01.07.2022,Псковская область,122,2,2,4,114,194
01.07.2022,Республика Адыгея (Адыгея),77,1,0,1,75,169
01.07.2022,Республика Алтай,37,1,1,1,34,169
01.07.2022,Республика Башкортостан,763,4,1,8,750,188
01.07.2022,Республика Бурятия,148,1,0,3,144,151
01.07.2022,Республика Дагестан,88,1,2,3,82,29
01.07.2022,Республика Ингушетия,13,1,0,2,10,26
01.07.2022,Республика Калмыкия,30,1,0,1,28,110
01.07.2022,Республика Карелия,112,2,0,1,109,181
01.07.2022,Республика Коми,182,4,1,4,173,219
01.07.2022,Республика Крым,208,1,3,2,202,109
01.07.2022,Республика Марий Эл,122,1,2,2,117,179
01.07.2022,Республика Мордовия,201,1,0,2,198,253
01.07.2022,Республика Саха (Якутия),243,3,1,3,236,251
01.07.2022,Республика Северная Осетия-Алания,57,1,1,2,53,82
01.07.2022,Республика Татарстан (Татарстан),923,3,13,6,901,237
01.07.2022,Республика Тыва,49,1,0,2,46,151
01.07.2022,Республика Хакасия,94,1,1,1,91,175
01.07.2022,Ростовская область,804,2,7,20,775,191
01.07.2022,Рязанская область,198,1,3,2,192,178
01.07.2022,Самарская область,540,2,6,12,520,170
01.07.2022,г. Санкт-Петербург,936,3,22,37,874,174
01.07.2022,Саратовская область,427,1,5,3,418,175
01.07.2022,Сахалинская область,106,2,3,3,98,216
01.07.2022,Свердловская область,753,3,7,23,720,174
01.07.2022,г. Севастополь,55,1,0,0,54,124
01.07.2022,Смоленская область,117,1,0,2,114,124
01.07.2022,Ставропольский край,434,3,3,12,416,155
01.07.2022,Тамбовская область,220,1,1,2,216,217
01.07.2022,Тверская область,150,1,2,4,143,118
01.07.2022,Томская область,169,1,1,3,164,157
01.07.2022,Тульская область,210,1,0,5,204,142
01.07.2022,Тюменская область,718,8,5,11,694,193
01.07.2022,Удмуртская Республика,286,1,3,2,280,190
01.07.2022,Ульяновская область,226,1,1,2,222,182
01.07.2022,Хабаровский край,237,3,0,10,224,179
01.07.2022,Челябинская область,679,3,6,15,655,195
01.07.2022,Чеченская Республика,50,1,0,2,47,34
01.07.2022,Чувашская Республика - Чувашия,252,1,1,2,248,206
01.07.2022,Чукотский автономный округ,25,3,0,0,22,503
01.07.2022,Ярославская область,220,1,1,4,214,175
01.04.2022,Алтайский край,602,2,2,2,596,258
01.04.2022,Амурская область,154,2,1,4,147,194
01.04.2022,Архангельская область,196,3,0,2,191,171
01.04.2022,Астраханская область,170,1,1,2,166,168
01.04.2022,Белгородская область,357,1,1,3,352,231
01.04.2022,Брянская область,142,1,0,2,139,118
01.04.2022,Владимирская область,237,1,1,2,233,174
01.04.2022,Волгоградская область,456,2,1,7,446,182
01.04.2022,Вологодская область,235,2,3,1,229,201
01.04.2022,Воронежская область,544,1,0,8,535,234
01.04.2022,Еврейская автономная область,36,1,0,1,34,225
01.04.2022,Забайкальский край,184,1,0,2,181,173
01.04.2022,Ивановская область,153,1,3,2,147,152
01.04.2022,Иркутская область,376,1,3,7,365,157
01.04.2022,Кабардино-Балкарская Республика,77,2,1,3,71,89
01.04.2022,Калининградская область,173,1,1,5,166,173
01.04.2022,Калужская область,177,1,3,4,169,175
01.04.2022,Камчатский край,81,2,1,2,76,257
01.04.2022,Карачаево-Черкесская Республика,35,1,0,1,33,75
01.04.2022,Кемеровская область-Кузбасс,405,2,5,5,393,151
01.04.2022,Кировская область,294,1,3,3,287,231
01.04.2022,Костромская область,102,1,3,2,96,160
