date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.01.2008,Ульяновская область,417,7,4,31,161,316
01.01.2008,Хабаровский край,339,4,5,33,232,241
01.01.2008,Челябинская область,780,14,11,117,417,222
01.01.2008,Чеченская Республика,1,0,0,1,0,1
01.01.2008,Читинская область,337,21,2,24,262,300
01.01.2008,Чувашская Республика - Чувашия,325,5,5,27,81,253
01.01.2008,Чукотский авт. округ,34,8,0,7,11,673
01.01.2008,Ярославская область,349,7,8,42,160,264
01.10.2009,Алтайский край,941,13,7,53,286,377
01.10.2009,Амурская область,237,4,4,15,161,274
01.10.2009,Архангельская область,316,14,3,28,167,250
01.10.2009,Астраханская область,267,4,4,30,116,266
01.10.2009,Белгородская область,468,5,5,33,137,307
01.10.2009,Брянская область,308,4,1,27,78,237
01.10.2009,Владимирская область,419,7,3,25,170,291
01.10.2009,Волгоградская область,714,9,5,65,265,275
01.10.2009,Вологодская область,407,7,8,28,302,334
01.10.2009,Воронежская область,662,6,5,56,215,292
01.10.2009,Еврейская авт. область,46,2,0,5,17,248
01.10.2009,Ивановская область,270,4,6,19,132,252
01.10.2009,Иркутская область,599,17,8,52,415,239
01.10.2009,Кабардино-Балкарская Республика,153,3,6,13,75,171
01.10.2009,Калининградская область,297,2,7,37,152,317
01.10.2009,Калужская область,295,3,4,29,134,294
01.10.2009,Камчатский край,120,13,6,12,71,349
01.10.2009,Карачаево-Черкесская Республика,47,2,5,4,34,110
01.10.2009,Кемеровская область,578,8,8,37,321,205
01.10.2009,Кировская область,438,8,3,24,181,313
01.10.2009,Костромская область,214,6,5,12,111,309
01.10.2009,Краснодарский край,1 531,20,17,107,1 122,298
01.10.2009,Красноярский край,886,22,6,68,475,307
01.10.2009,Курганская область,316,4,4,20,80,332
01.10.2009,Курская область,310,4,2,21,147,268
01.10.2009,Ленинградская область,372,4,4,32,275,228
01.10.2009,Липецкая область,317,4,2,26,114,272
01.10.2009,Магаданская область,68,6,2,12,31,417
01.10.2009,г. Москва и Московская область,6 457,17,540,271,3 812,375
01.10.2009,Мурманская область,229,3,4,27,149,272
01.10.2009,Нижегородская область,1 182,17,16,117,424,354
01.10.2009,Новгородская область,174,3,2,18,126,269
01.10.2009,Новосибирская область,757,10,13,73,423,287
01.10.2009,Омская область,670,9,6,48,199,333
01.10.2009,Оренбургская область,839,15,9,47,268,397
01.10.2009,Орловская область,213,4,2,22,82,261
01.10.2009,Пензенская область,589,6,2,33,147,427
01.10.2009,Пермский край,809,11,6,71,382,299
01.10.2009,Приморский край,486,15,8,43,333,244
01.10.2009,Псковская область,180,4,3,12,116,258
01.10.2009,Республика Адыгея (Адыгея),95,2,5,5,75,215
01.10.2009,Республика Алтай,62,7,5,4,33,296
01.10.2009,Республика Башкортостан,1 254,10,10,59,624,309
01.10.2009,Республика Бурятия,272,13,1,20,203,283
01.10.2009,Республика Дагестан,268,9,32,75,139,99
01.10.2009,Республика Ингушетия,22,2,2,5,13,43
01.10.2009,Республика Калмыкия,50,1,2,3,38,176
01.10.2009,Республика Карелия,185,12,1,20,109,269
01.10.2009,Республика Коми,296,14,3,41,126,309
01.10.2009,Республика Марий Эл,159,6,1,20,51,227
01.10.2009,Республика Мордовия,310,2,4,11,130,372
01.10.2009,Республика Саха (Якутия),332,20,5,39,140,350
01.10.2009,Республика Северная Осетия-Алания,88,3,6,11,55,125
01.10.2009,Республика Татарстан (Татарстан),1 596,14,26,93,544,424
01.10.2009,Республика Тыва,53,3,2,4,39,169
01.10.2009,Республика Хакасия,177,4,3,7,97,329
01.10.2009,Ростовская область,1 257,14,22,105,875,296
01.10.2009,Рязанская область,297,4,4,25,117,257
01.10.2009,Самарская область,984,9,20,92,437,310
01.10.2009,г. Санкт-Петербург,1 514,3,42,148,999,330
01.10.2009,Саратовская область,927,12,11,68,229,360
01.10.2009,Сахалинская область,151,11,5,15,77,293
01.10.2009,Свердловская область,1 154,12,23,95,735,263
01.10.2009,Смоленская область,252,6,4,27,105,259
01.10.2009,Ставропольский край,600,9,8,60,423,222
01.10.2009,Тамбовская область,322,3,1,19,98,294
01.10.2009,Тверская область,370,13,8,36,127,270
01.10.2009,Томская область,279,9,4,34,152,269
01.10.2009,Тульская область,369,6,5,32,185,238
01.10.2009,Тюменская область,1 252,22,18,146,534,368
01.10.2009,Удмуртская Республика,381,6,7,32,202,249
01.10.2009,Ульяновская область,414,4,4,29,193,317
01.10.2009,Хабаровский край,354,4,4,33,248,253
01.10.2009,Челябинская область,859,10,11,107,448,245
01.10.2009,Чеченская Республика,5,0,0,3,1,4
01.10.2009,Читинская область,299,17,1,18,234,268
01.10.2009,Чувашская Республика - Чувашия,355,3,5,24,97,277
01.10.2009,Чукотский авт. округ,34,8,0,7,10,687
01.10.2009,Ярославская область,384,5,8,36,232,293
01.07.2009,Алтайский край,953,13,7,55,292,382
01.07.2009,Амурская область,233,4,4,16,161,270
01.07.2009,Архангельская область,312,14,3,30,160,247
01.07.2009,Астраханская область,267,4,4,30,113,266
01.07.2009,Белгородская область,469,5,6,31,138,308
01.07.2009,Брянская область,312,4,1,28,78,240
01.07.2009,Владимирская область,421,7,3,28,166,292
01.07.2009,Волгоградская область,718,9,5,66,264,276
01.07.2009,Вологодская область,404,7,8,29,265,332
01.07.2009,Воронежская область,667,6,5,57,214,294
01.07.2009,Еврейская авт. область,47,2,0,5,17,253
01.07.2009,Ивановская область,274,4,6,19,133,255
01.07.2009,Иркутская область,595,17,8,54,416,237
01.07.2009,Кабардино-Балкарская Республика,156,3,6,12,75,175
01.07.2009,Калининградская область,293,2,7,36,151,313
01.07.2009,Калужская область,297,3,5,29,139,296
01.07.2009,Камчатский край,120,13,6,12,72,349
01.07.2009,Карачаево-Черкесская Республика,48,2,5,4,35,112
01.07.2009,Кемеровская область,578,8,8,38,316,205
01.07.2009,Кировская область,440,8,3,28,175,314
01.07.2009,Костромская область,225,6,5,13,112,325
01.07.2009,Краснодарский край,1 507,20,16,105,1 118,293
01.07.2009,Красноярский край,895,22,6,67,466,310
