Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2012,1146,U,F,35551,118322,130022,117352,127861,204793,261010,254447,234534,209098,215875,252984,239333,210038,114888,172950,116365,89978,52692
2012,1146,R,B,14747,58732,66338,61902,64916,114205,130467,121664,108296,98067,103190,123433,110334,88369,43753,66781,42121,31296,17323
2012,1146,R,M,7801,30254,34381,32569,34186,64726,67286,62090,55412,49895,50530,58756,50692,38408,17509,21990,12170,7466,2889
2012,1146,R,F,6947,28478,31958,29333,30730,49479,63182,59575,52884,48172,52660,64677,59642,49961,26244,44792,29951,23830,14434
2012,1154,T,B,8382,32224,35797,33159,40585,57020,59001,55248,53406,50373,54201,66591,62268,52735,23857,37554,25095,19942,10591
2012,1154,T,M,4307,16610,18294,17009,20569,27794,29334,27174,25847,24107,25631,30752,27155,21872,8897,11920,7296,4795,1780
2012,1154,T,F,4075,15614,17504,16150,20017,29226,29668,28074,27560,26266,28570,35839,35113,30863,14960,25634,17799,15147,8811
2012,1154,U,B,4644,20025,23093,20845,27599,41040,40598,38995,36825,32824,33753,42011,41422,36058,16148,23545,14583,11185,6608
2012,1154,U,M,2363,10319,11766,10671,13704,19684,20127,19201,17802,15521,15366,18320,17126,14411,5953,7466,4217,2689,1206
2012,1154,U,F,2281,9706,11328,10175,13895,21356,20471,19794,19024,17303,18388,23691,24296,21647,10195,16079,10367,8496,5402
2012,1154,R,B,3738,12199,12704,12314,12987,15980,18404,16253,16581,17549,20448,24580,20846,16677,7709,14009,10512,8757,3984
2012,1154,R,M,1945,6291,6528,6339,6865,8110,9207,7973,8045,8586,10265,12432,10029,7461,2944,4455,3080,2106,575
2012,1154,R,F,1794,5909,6176,5976,6122,7870,9197,8281,8536,8963,10183,12148,10818,9216,4765,9555,7433,6651,3409
2012,1161,T,B,12005,44474,49007,45695,54872,84043,89297,81489,79001,76605,78285,95630,89587,79012,39053,62395,40834,29578,17440
2012,1161,T,M,6155,22909,25259,23395,28252,43479,46152,41207,38609,37353,37177,43797,39064,32233,14280,19668,12283,7206,3103
2012,1161,T,F,5851,21566,23748,22301,26620,40564,43145,40282,40392,39253,41108,51833,50524,46779,24774,42727,28552,22373,14337
2012,1161,U,B,7892,30977,34767,31861,40355,63604,66278,61118,58741,55229,54993,66819,64006,56845,27723,40623,24700,16946,10489
2012,1161,U,M,4070,15922,17952,16252,20573,32581,33905,30604,28435,26532,25333,29358,26746,22484,9990,12890,7443,4194,2073
2012,1161,U,F,3822,15055,16815,15609,19783,31023,32373,30514,30307,28698,29661,37461,37260,34361,17733,27733,17257,12752,8416
2012,1161,R,B,4113,13498,14240,13835,14517,20439,23019,20372,20260,21376,23292,28811,25582,22167,11330,21772,16134,12632,6951
2012,1161,R,M,2085,6987,7307,7143,7679,10898,12247,10603,10175,10821,11845,14439,12318,9750,4290,6778,4840,3012,1031
2012,1161,R,F,2029,6511,6933,6692,6838,9542,10772,9769,10086,10555,11448,14372,13264,12418,7041,14994,11295,9621,5921
2012,1166,T,B,10164,38904,42382,37902,46248,73706,82050,73742,68885,63831,69492,85025,78615,65279,29622,42032,28455,23713,14518
2012,1166,T,M,5179,19922,21668,19586,23732,38763,42409,37563,34012,30997,32730,38493,33545,26541,11017,13082,8052,5562,2151
2012,1166,T,F,4985,18982,20714,18316,22516,34943,39642,36179,34873,32835,36762,46532,45070,38738,18605,28950,20404,18151,12367
2012,1166,U,B,7251,28429,31138,27523,35035,55524,60657,55779,51722,46756,49313,60626,56967,47862,21501,28933,18533,15027,9712
2012,1166,U,M,3701,14621,15968,14225,17849,28831,30629,27774,24906,22099,22351,26148,23291,18843,7857,8950,5164,3519,1594
2012,1166,U,F,3550,13809,15170,13299,17187,26693,30028,28005,26816,24657,26962,34478,33677,29019,13644,19983,13369,11508,8118
2012,1166,R,B,2913,10475,11244,10379,11213,18182,21394,17963,17164,17075,20179,24399,21648,17417,8122,13099,9923,8686,4806
2012,1166,R,M,1478,5302,5700,5362,5883,9932,11780,9789,9107,8898,10380,12346,10254,7698,3160,4132,2888,2043,557
2012,1166,R,F,1435,5173,5545,5018,5330,8250,9614,8175,8057,8178,9800,12054,11394,9719,4962,8967,7035,6643,4249
2012,1168,T,B,9633,39006,46104,45037,53980,76836,81617,74156,74885,71743,78625,94089,84749,73730,35042,57513,36255,29094,16783
2012,1168,T,M,4956,20199,23680,23273,27823,39504,42280,37547,37286,35252,38130,44899,38019,31097,13287,18347,10736,7411,2923
2012,1168,T,F,4677,18808,22424,21764,26158,37332,39338,36609,37600,36491,40495,49191,46730,42633,21755,39166,25519,21684,13860
2012,1168,U,B,5269,22439,27079,25616,31593,47179,49881,46215,45730,42037,44669,54234,50522,45528,21322,31617,18914,14869,9389
2012,1168,U,M,2718,11641,13918,13274,16249,23937,25099,22723,22344,19788,20669,24350,21517,18484,8094,10137,5601,3739,1813
2012,1168,U,F,2551,10798,13161,12342,15344,23242,24782,23492,23386,22250,24000,29884,29005,27044,13228,21480,13313,11130,7577
2012,1168,R,B,4364,16568,19025,19421,22387,29657,31737,27941,29155,29706,33956,39855,34227,28202,13720,25896,17341,14226,7394
2012,1168,R,M,2238,8558,9762,9999,11574,15567,17181,14824,14942,15465,17461,20549,16502,12613,5193,8210,5135,3672,1111
2012,1168,R,F,2126,8010,9263,9423,10814,14091,14556,13117,14214,14242,16495,19307,17725,15589,8528,17686,12206,10554,6283
2012,1128,T,B,15046,55556,61373,55482,60823,93419,107767,97622,92510,84936,92277,112937,106418,90966,42289,66432,45127,35953,20617
2012,1128,T,M,7662,28366,31598,28704,31186,48286,55848,49309,45627,40876,43236,51175,45964,37050,16081,20409,12547,7840,3390
2012,1128,T,F,7384,27190,29775,26778,29637,45134,51920,48313,46883,44060,49042,61762,60454,53917,26208,46023,32580,28114,17227
2012,1128,U,B,11102,41645,46825,41627,47169,71651,82241,75683,71764,64697,67940,82555,78827,67631,31515,47599,31590,24475,14730
2012,1128,U,M,5669,21257,24111,21540,23910,36530,41629,37366,34564,30569,30903,35931,32828,26626,11726,14067,8497,5337,2666
2012,1128,U,F,5434,20388,22714,20087,23259,35122,40612,38317,37200,34128,37037,46625,45999,41005,19789,33532,23093,19139,12065
2012,1128,R,B,3944,13911,14548,13856,13654,21768,25527,21940,20746,20240,24338,30382,27591,23336,10774,18834,13538,11478,5887
2012,1128,R,M,1993,7109,7488,7164,7276,11756,14219,11943,11064,10308,12333,15244,13136,10424,4355,6343,4051,2503,725
2012,1128,R,F,1951,6802,7061,6692,6378,10012,11308,9997,9683,9932,12005,15138,14456,12912,6419,12491,9487,8975,5163
2012,1170,T,B,15004,56517,63368,59768,69211,106012,123441,115733,113879,103789,102917,126890,123659,111201,53831,82435,52958,42361,23924
2012,1170,T,M,7656,29158,32497,30699,35490,54646,63589,58424,56348,51009,48813,57440,52562,44210,19390,24786,14740,9899,4171
2012,1170,T,F,7348,27359,30871,29069,33722,51367,59852,57309,57531,52780,54104,69450,71097,66992,34441,57650,38218,32463,19753
2012,1170,U,B,10383,42974,49103,45973,54143,83403,96380,91623,91460,82475,79857,97748,96974,89023,43458,65182,40757,32188,18766
2012,1170,U,M,5301,22243,25226,23507,27761,43225,49550,45753,44716,40082,37166,43182,40056,34538,15374,19380,11224,7518,3431
2012,1170,U,F,5082,20731,23878,22466,26382,40178,46830,45870,46745,42394,42691,54567,56919,54485,28084,45802,29533,24671,15336
2012,1170,R,B,4621,13544,14265,13795,15069,22609,27062,24110,22419,21314,23060,29142,26685,22178,10373,17254,12201,10173,5158
2012,1170,R,M,2355,6915,7271,7192,7729,11421,14040,12671,11632,10928,11647,14259,12506,9672,4016,5406,3517,2381,740
2012,1170,R,F,2266,6629,6994,6603,7340,11189,13022,11439,10787,10386,11413,14883,14179,12507,6357,11848,8685,7792,4418
2012,1178,T,B,14591,54147,59823,51666,57461,89518,102992,95606,91814,84122,86655,99821,96610,87106,41692,65340,40514,30260,18730
2012,1178,T,M,7628,27798,30440,26718,29414,43987,51654,47392,45163,40466,40677,44643,40468,34476,15107,20067,10989,6647,2973
2012,1178,T,F,6963,26349,29383,24949,28047,45531,51338,48214,46651,43656,45978,55179,56142,52631,26586,45274,29525,23613,15758
2012,1178,U,B,11688,44580,49238,42025,47398,75566,86766,81125,77768,69921,69933,79604,77718,70983,34393,52354,31746,23163,14799
2012,1178,U,M,6121,22972,25080,21739,24114,36687,42977,39897,37978,33410,32292,34551,31613,27251,12270,15843,8362,5126,2466
2012,1178,U,F,5568,21608,24158,20287,23284,38879,43789,41228,39791,36511,37642,45053,46105,43732,22123,36511,23384,18038,12333
2012,1178,R,B,2903,9567,10586,9641,10063,13952,16226,14481,14046,14201,16722,20217,18892,16124,7300,12987,8768,7097,3931
2012,1178,R,M,1508,4827,5360,4979,5300,7300,8677,7496,7186,7056,8386,10092,8855,7225,2837,4224,2627,1521,507
2012,1178,R,F,1396,4741,5226,4662,4763,6652,7549,6986,6860,7145,8336,10126,10037,8899,4463,8763,6141,5576,3425
2012,1145,T,B,128311,416093,489410,470976,498458,886523,1060369,1020522,920348,861234,841425,951423,814338,704776,435361,514038,334081,246146,165297
2012,1145,T,M,66340,213773,249907,242113,254413,435716,513385,503134,452846,426164,400176,436899,355242,292210,177241,186082,109631,70628,39415
2012,1145,T,F,61972,202320,239503,228863,244045,450807,546985,517388,467503,435070,441249,514524,459097,412566,258121,327957,224451,175518,125882
2012,1145,U,B,128311,416093,489410,470976,498458,886523,1060369,1020522,920348,861234,841425,951423,814338,704776,435361,514038,334081,246146,165297
2012,1145,U,M,66340,213773,249907,242113,254413,435716,513385,503134,452846,426164,400176,436899,355242,292210,177241,186082,109631,70628,39415
2012,1145,U,F,61972,202320,239503,228863,244045,450807,546985,517388,467503,435070,441249,514524,459097,412566,258121,327957,224451,175518,125882
2012,1145,R,B
2012,1145,R,M
2012,1145,R,F
2012,3100,T,B,149909,559477,631310,571825,624740,1055533,1214947,1109111,1021547,919880,955874,1128972,1039809,870642,437765,562028,389431,282497,165747
2012,3100,T,M,77091,287341,323890,296231,322101,557768,620302,558360,505558,448739,450456,506690,437945,346436,164023,180862,110221,67744,28548
2012,3100,T,F,72818,272136,307420,275594,302639,497766,594646,550751,515989,471142,505419,622283,601864,524207,273742,381166,279210,214753,137199
2012,3100,U,B,124541,461582,520962,470430,533243,906389,1037125,948012,871686,777684,789187,919996,850933,724885,374514,464333,315615,225857,138590
2012,3100,U,M,63840,237142,267427,243721,273515,471039,523202,472353,427038,375706,366893,403278,349646,282369,138699,148527,89057,54542,24806
2012,3100,U,F,60701,224440,253536,226710,259728,435350,513924,475659,444648,401979,422294,516718,501287,442517,235816,315807,226558,171315,113784
2012,3100,R,B,25368,97895,110348,101395,91497,149144,177822,161100,149861,142196,166688,208977,188876,145757,63251,97695,73816,56640,27158
2012,3100,R,M,13251,50200,56464,52510,48586,86729,97100,86007,78521,73033,83563,103412,88300,64067,25325,32335,21164,13202,3742
2012,3100,R,F,12117,47696,53884,48885,42911,62416,80722,75093,71341,69163,83125,105565,100577,81690,37926,65360,52653,43438,23416
2012,1186,T,B,6426,28309,32519,28488,29596,42235,52223,48958,47996,42101,44402,53926,50911,41617,18251,24873,18727,12480,6341
2012,1186,T,M,3288,14526,16630,14568,15172,21043,26609,24526,23786,20355,20895,24316,21558,16457,6735,7484,4842,2771,1085
2012,1186,T,F,3139,13784,15889,13921,14425,21192,25614,24432,24211,21746,23508,29610,29353,25160,11516,17389,13885,9709,5256
2012,1186,U,B,4935,22382,25728,22105,24924,35532,43140,40173,38849,33172,33609,39408,37661,31953,14301,18926,13533,9025,4960
2012,1186,U,M,2525,11522,13173,11268,12715,17183,21749,19874,19023,15842,15453,17139,15414,12312,5225,5715,3542,1971,881
2012,1186,U,F,2410,10860,12555,10838,12210,18349,21391,20299,19826,17330,18156,22269,22247,19641,9076,13211,9992,7054,4079
2012,1186,R,B,1492,5927,6791,6383,4672,6703,9083,8785,9148,8930,10793,14519,13250,9664,3950,5947,5194,3455,1381
2012,1186,R,M,763,3004,3457,3300,2457,3860,4860,4652,4763,4514,5442,7177,6144,4145,1510,1769,1300,800,204
2012,1186,R,F,729,2924,3334,3083,2215,2843,4223,4133,4385,4416,5352,7342,7107,5519,2440,4178,3894,2655,1178
2012,1187,T,B,10250,43338,50117,44170,45346,59199,79196,74218,69487,61136,65788,79160,65465,48874,19622,26752,17099,10477,5437
