date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.04.2010,Республика Мордовия,"154,4","3,1","0,8","151,3","0,4","29,7"
01.04.2010,Республика Саха (Якутия),"326,7","2,8",1,"323,9",1,11
01.04.2010,Республика Северная Осетия-Алания,11,"0,9","0,6","10,1","0,3","0,3"
01.04.2010,Республика Татарстан (Татарстан),"1 257,1","37,4","22,9","1 219,7","15,2","6,7"
01.04.2010,Республика Тыва,"8,2","0,4","0,3","7,8","0,9","6,9"
01.04.2010,Республика Хакасия,62,"3,2","1,5","58,8","0,8","2,8"
01.04.2010,Ростовская область,"938,4","32,7","13,9","905,7",24,"69,5"
01.04.2010,Рязанская область,"263,3","11,3","4,7",252,"2,1","24,3"
01.04.2010,Самарская область,"929,6",36,"15,9","893,6","316,4","26,6"
01.04.2010,г. Санкт-Петербург,"2 319,6","168,8","132,5","2 150,8","370,5","58,7"
01.04.2010,Саратовская область,350,"12,8","4,9","337,2","43,7","11,8"
01.04.2010,Сахалинская область,"104,8",4,"3,1","100,7","0,4","62,1"
01.04.2010,Свердловская область,"1 436,3","102,4","76,1","1 333,9","137,7","30,2"
01.04.2010,Смоленская область,142,"5,8","3,3","136,2","1,2",14
01.04.2010,Ставропольский край,"634,4","14,3","5,3","620,1","13,6","16,7"
01.04.2010,Тамбовская область,"141,8","3,3","1,2","138,5","5,2","119,6"
01.04.2010,Тверская область,"56,9","8,3","5,3","48,6",11,0
01.04.2010,Томская область,"310,2","14,3","6,3","295,9","11,1","45,6"
01.04.2010,Тульская область,"125,6","8,7","6,2","116,8","1,9","20,6"
01.04.2010,Тюменская область,"1 271,2","33,1","16,8","1 238,1","25,5","202,7"
01.04.2010,Удмуртская Республика,"323,3","18,1","11,1","305,2","95,7",188
01.04.2010,Ульяновская область,"220,6","6,9","3,5","213,7","4,3","51,5"
01.04.2010,Хабаровский край,"720,4","20,3","6,5","700,1","13,3","41,2"
01.04.2010,Челябинская область,"762,4","46,9",17,"715,5","41,1","557,2"
01.04.2010,Чеченская Республика,14,"0,3","0,1","13,6",0,0
01.04.2010,Чувашская Республика - Чувашия,"259,7","6,8","2,1","252,8","0,1",0
01.04.2010,Чукотский автономный округ,"2,8","0,1","0,1","2,7","0,3","2,4"
01.04.2010,Ярославская область,268,"13,9","8,7","254,1","7,4","30,5"
01.01.2010,Алтайский край,463,"18,5","10,6","444,5","7,6","174,8"
01.01.2010,Амурская область,"251,8","4,2","2,3","247,6","1,6","26,1"
01.01.2010,Архангельская область,"225,5","9,3","4,9","216,1",8,102
01.01.2010,Астраханская область,"591,5","4,5","1,3","587,1","2,7","79,7"
01.01.2010,Белгородская область,"657,6","11,1","5,3","646,5","4,8","87,8"
01.01.2010,Брянская область,"150,6","7,6","4,8",143,"11,1","73,1"
01.01.2010,Владимирская область,"262,5","11,5","4,3",251,"4,8","50,7"
01.01.2010,Волгоградская область,"503,1","15,2","7,9","487,9","18,7","65,2"
01.01.2010,Вологодская область,"338,4","13,9","3,7","324,6","3,6","22,1"
01.01.2010,Воронежская область,"967,6","22,8","12,5","944,8","51,6","55,7"
01.01.2010,Еврейская автономная область,43,"0,8","0,2","42,2",0,"9,7"
01.01.2010,Забайкальский край,"192,5","2,9","1,2","189,6","1,1","114,3"
01.01.2010,Ивановская область,"177,7","8,8","5,8","168,9","1,8","100,7"
01.01.2010,Иркутская область,"647,9",17,"9,1","630,9","204,8","15,4"
01.01.2010,Кабардино-Балкарская Республика,"1,8",1,"0,4","0,9",0,0
01.01.2010,Калининградская область,"102,6","18,3","11,7","84,3","2,2",0
01.01.2010,Калужская область,"41,3","5,8","3,2","35,5","1,9","10,6"
01.01.2010,Камчатский край,"81,3","2,8","2,2","78,5","0,4","8,9"
01.01.2010,Карачаево-Черкесская Республика,"47,7","0,4","0,1","47,3","8,6","19,7"
01.01.2010,Кемеровская область,"448,4","22,3","10,8","426,1",34,"84,3"
01.01.2010,Кировская область,"282,2","9,6","6,8","272,6",1,4
01.01.2010,Костромская область,"53,7","6,5",3,"47,2","0,1","17,6"
01.01.2010,Краснодарский край,"1 719,9",73,"13,2","1 646,9",169,"57,3"
01.01.2010,Красноярский край,"663,1","21,1",13,642,"117,1",24
01.01.2010,Курганская область,263,"4,5","2,6","258,5","0,8","81,4"
01.01.2010,Курская область,"558,9","7,7","3,5","551,2","2,7","113,6"
01.01.2010,Ленинградская область,"28,9","12,2","8,1","16,6","1,9","0,1"
01.01.2010,Липецкая область,561,"7,6","1,2","553,4","2,2","2,4"
01.01.2010,Магаданская область,37,"0,8","0,5","36,2","0,1","4,2"
