year,region,men,women
2020,Ленинградская область,16.09,25.36
2020,Калининградская область,16.21,25.11
2020,Вологодская область,14.17,25.11
2020,   Архангельская область без авт. округа,14.68,25.08
2020,   Ненецкий автономный округ,13.73,26.52
2020,Архангельская область,14.66,25.13
2020,Республика Коми,13.91,24.12
2020,Республика Карелия,13.78,24.15
2020,г.Москва,19.28,27.4
2020,Ярославская область,14.26,24.72
2020,Тульская область,14.93,24.68
2020,Тверская область,14.13,24.26
2020,Тамбовская область,15.08,24.92
2020,Смоленская область,14.23,24.48
2020,Рязанская область,14.54,24.76
2020,Московская область,16.35,24.8
2020,Владимирская область,14.42,24.39
2020,Белгородская область,15.21,25.07
2020,Курская область,14.13,24.21
2020,Костромская область,14.24,24.33
2020,Калужская область,14.91,24.56
2020,Ивановская область,13.97,24.36
2020,Воронежская область,15.48,25.32
2020,Липецкая область,14.25,24.1
2020,Брянская область,14.5,24.64
2020,Камчатский край,13.64,23.32
2020,Приморский край,14.17,23.84
2020,Хабаровский край,13.58,23.51
2020,Амурская область,13.19,22.17
2020,Магаданская область,13.81,23.49
2020,Республика Бурятия,14.46,24.55
2020,Еврейская автономная область,13.05,22.53
2020,Чукотский автономный округ,14.74,20.76
2020,Республика Саха (Якутия),15.35,24.81
2020,Сахалинская область,14.76,24.02
2020,Забайкальский край,13.15,23.12
2021,Московская область,15.83,23.4
2021,Смоленская область,12.95,22.2
2021,Тамбовская область,14.31,22.69
2021,Воронежская область,14.28,22.74
2021,Тверская область,13.26,22.54
2021,Калужская область,14.41,22.98
2021,Костромская область,13.22,22.15
2021,Белгородская область,14.45,22.9
2021,Владимирская область,13.52,22.41
2021,Курская область,13.17,21.54
2021,Ивановская область,12.86,22.59
2021,Республика Алтай,13.4,21.93
2021,Республика Тыва,13.34,21.94
2021,Республика Хакасия,13.74,22.49
2021,Алтайский край,12.99,21.79
2021,Красноярский край,13.71,22.5
2021,Иркутская область,12.93,21.97
2021,Кемеровская область – Кузбасс,13.54,22.49
2021,Новосибирская область,14.18,23.17
2021,Oмская область,13.61,22.26
2021,Томская область,14.27,23.08
2021,Республика Бурятия,13.53,22.95
2021,Республика Саха (Якутия),14.4,22.67
2021,Забайкальский край,12.34,21.14
2021,Камчатский край,13.42,21.96
2021,Приморский край,13.51,22.63
2021,Удмуртская Республика,13.72,23.87
2021,Чувашская Республика,14.03,23.76
2021,Пермский край,13.51,22.98
2021,Кировская область,13.55,23
2021,Нижегородская область,13.47,22.71
2021,Оренбургская область,13.46,21.71
2021,Орловская область,13.53,22.3
2021,Липецкая область,13.51,21.87
2021,Рязанская область,13.46,22.41
2021,Брянская область,13.53,22.21
2021,Хабаровский край,13.55,22.32
2021,Чукотский автономный округ,13.38,22.84
2021,Еврейская автономная область,12.37,20.76
2021,Амурская область,12.5,20.53
2021,Магаданская область,12.76,22.12
2021,Сахалинская область,14.01,22.52
